id-query,id,kudos_delta,hits_delta,comments_delta,bookmarks_delta,words_delta,chapters_delta,modified_before_window,hits,kudos,comments,bookmarks,words,chapters,language,restricted,complete,crossover,date_queried,time_elapsed,query_batch
50504212-1,50504212,3,210,4,1,0,0,True,3098,79,34,23,33186,13,English,False,False,False,2023-11-12 00:55:02.854837,0 days 23:59:58.175123,1
45448162-0,45448162,10,147,2,2,5,0,False,824,41,6,2,3243,2,English,False,True,False,2023-11-11 23:54:56.054314,1 days 00:00:01.983268,0
51528265-0,51528265,11,46,1,0,0,0,False,0,0,0,0,2896,1,English,False,True,False,2023-11-11 23:54:56.483825,1 days 00:00:01.554894,0
51503593-0,51503593,2,112,0,0,0,0,False,129,9,0,0,8310,2,English,False,False,False,2023-11-11 23:54:56.485022,1 days 00:00:01.554887,0
51528295-0,51528295,0,10,0,0,0,0,False,0,0,0,0,1837,1,English,False,True,False,2023-11-11 23:54:56.485851,1 days 00:00:01.554855,0
34332817-0,34332817,8,524,0,2,0,0,False,9164,222,25,58,12844,5,English,False,False,False,2023-11-11 23:54:56.487896,1 days 00:00:01.554757,0
51525631-0,51525631,25,164,3,1,0,0,False,0,0,0,0,876,1,English,False,True,False,2023-11-11 23:54:56.488964,1 days 00:00:01.554784,0
51527971-0,51527971,7,38,0,1,1,0,False,0,0,0,0,1333,1,English,False,False,False,2023-11-11 23:54:56.490268,1 days 00:00:01.554736,0
46139251-0,46139251,1,80,1,0,0,0,False,1385,34,23,6,88079,12,English,False,False,False,2023-11-11 23:54:56.491813,1 days 00:00:01.554695,0
51528031-0,51528031,103,810,9,15,0,0,False,2,0,0,0,3670,1,English,False,True,False,2023-11-11 23:54:56.493144,1 days 00:00:01.554692,0
51350110-0,51350110,11,126,5,2,0,0,False,213,31,6,6,18500,3,English,False,False,False,2023-11-11 23:54:56.494393,1 days 00:00:01.554723,0
